StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Informed consent ",Q1.1,Q1.2,Q1.3,Q1.4,Q1.5,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q3.1,Q3.2,Q3.3,Q3.4,Q3.5,Q4.1,Q4.2,Q4.3,Q4.4,Q4.5,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5,Q6.1,Q6.2,Q6.3,Q6.4,Q6.5
2024-01-29 10:15:17,2024-01-29 10:18:19,IP Address,80.113.224.189,100,182,True,2024-01-29 10:18:20,R_2j7KAv80R2Si4fN,,,,,52.3346,4.8914,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Other",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen"
2024-01-29 10:16:46,2024-01-29 10:20:46,IP Address,84.241.204.11,100,240,True,2024-01-29 10:20:48,R_8yflZOnZkShCkT6,,,,,51.8867,4.5026,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Both equally,A toy car,Both equally,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Colour,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Object,"Colour,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 10:15:45,2024-01-29 10:21:43,IP Address,91.54.173.49,100,357,True,2024-01-29 10:21:44,R_2ziOUznkpcMCDCG,,,,,52.0779,8.7468,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,Blurriness or sharpness of fore/background,A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects
2024-01-29 10:19:45,2024-01-29 10:24:01,IP Address,82.132.215.131,100,256,True,2024-01-29 10:24:02,R_2IBo1R2muFXYIXd,,,,,51.5245,-0.1567,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Blurriness or sharpness of fore/background,A toy car,Both equally,A toy car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Both equally,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A real car,Both equally,A real car,Both equally,Context/environment in which the (toy) car can be seen
2024-01-29 10:16:34,2024-01-29 10:26:12,IP Address,37.201.116.52,100,578,True,2024-01-29 10:26:13,R_2nbZQTOQsacRpiI,,,,,50.0746,8.2447,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 10:23:54,2024-01-29 10:28:18,IP Address,213.225.3.96,100,264,True,2024-01-29 10:28:19,R_2VHXQI7nLXudFxs,,,,,48.1535,16.3855,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Details on the (toy) car",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,"Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 10:25:21,2024-01-29 10:28:45,IP Address,84.25.24.204,100,203,True,2024-01-29 10:28:45,R_5GNuekvutacsr1F,,,,,52.3045,4.8656,anonymous,EN,agree to participate in this study.,A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Colour,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),"Texture/reflections or graininess,Details on the (toy) car",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Colour,Texture/reflections or graininess",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,"Size in relation to other objects,Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 10:29:10,2024-01-29 10:34:13,IP Address,47.58.167.113,100,302,True,2024-01-29 10:34:14,R_8G6w7LxAgWLhaUK,,,,,41.6485,-0.9102,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,Details on the (toy) car,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A real car,Object,"Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 10:41:58,2024-01-29 10:45:02,IP Address,89.205.132.28,100,184,True,2024-01-29 10:45:03,R_3LdwPnJnBP1DOkd,,,,,52.3795,4.8777,anonymous,EN,agree to participate in this study.,I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),Texture/reflections or graininess,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,"Size in relation to other objects,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A real car,Object,A real car,Object,Other
2024-01-29 10:41:21,2024-01-29 10:46:35,IP Address,134.1.1.13,100,313,True,2024-01-29 10:46:35,R_1TCeRtCIknMKkvN,,,,,53.5356,8.5916,anonymous,EN,agree to participate in this study.,A toy car,Object,A toy car,Object,"Colour,Details on the (toy) car",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,Size in relation to other objects,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen"
2024-01-29 10:49:39,2024-01-29 10:53:15,IP Address,83.85.224.247,100,216,True,2024-01-29 10:53:16,R_89prqg0cvZiTzG8,,,,,52.0529,4.2489,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 10:50:20,2024-01-29 10:53:24,IP Address,69.164.141.233,100,184,True,2024-01-29 10:53:25,R_7FAhEZntPJPBoHf,,,,,40.8004,-73.9504,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Colour,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Colour,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A toy car,Surrounding (Environment around the car),"Colour,Context/environment in which the (toy) car can be seen"
2024-01-29 10:48:03,2024-01-29 10:53:43,IP Address,213.124.211.140,100,339,True,2024-01-29 10:53:44,R_2qdMWWUCGbP0mON,,,,,52.36,4.8084,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Other,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),Details on the (toy) car,I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option",Other
2024-01-29 10:48:07,2024-01-29 10:57:33,IP Address,188.206.108.76,100,566,True,2024-01-29 10:57:34,R_5q4ChcRMKVUVAo1,,,,,52.3795,4.8777,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,Texture/reflections or graininess,A toy car,Object,A toy car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Object,A real car,Object,"Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 10:56:23,2024-01-29 11:01:07,IP Address,83.87.98.137,100,283,True,2024-01-29 11:01:07,R_2FQjAOKmaWoyDMX,,,,,52.0708,4.308,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,Details on the (toy) car,A toy car,Object,A toy car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Object,Size in relation to other objects,A toy car,Object,A toy car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A real car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 11:00:09,2024-01-29 11:05:45,IP Address,89.245.66.121,100,336,True,2024-01-29 11:05:46,R_1T8NRO5UYXE4GfT,,,,,51.5223,7.0633,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Other",A real car,Object,A real car,Object,Details on the (toy) car,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,Details on the (toy) car
2024-01-29 11:01:14,2024-01-29 11:06:09,IP Address,92.233.67.61,100,295,True,2024-01-29 11:06:10,R_1VawcyiUgpPy1up,,,,,51.536,-0.0925,anonymous,EN,agree to participate in this study.,I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car",A real car,Both equally,A toy car,Both equally,"Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car"
2024-01-29 11:07:59,2024-01-29 11:13:51,IP Address,37.209.76.18,100,352,True,2024-01-29 11:13:52,R_2CKOtkzhu5oZ1qV,,,,,48.5253,9.0139,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option","Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A real car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen
2024-01-29 10:55:09,2024-01-29 11:22:43,IP Address,94.126.56.92,100,1653,True,2024-01-29 11:22:44,R_448HKokbRwSrtWk,,,,,45.5382,9.9213,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Both equally,A toy car,Both equally,Size in relation to other objects,A toy car,Both equally,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess",A real car,Surrounding (Environment around the car),A real car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A real car,Object,A real car,Both equally,Size in relation to other objects
2024-01-29 11:33:05,2024-01-29 11:35:40,IP Address,89.205.227.254,100,155,True,2024-01-29 11:35:41,R_2JJgR0b448UnefG,,,,,51.9083,4.5016,anonymous,EN,agree to participate in this study.,A toy car,Both equally,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Both equally,A real car,Surrounding (Environment around the car),Size in relation to other objects
2024-01-29 11:37:51,2024-01-29 11:41:53,IP Address,104.28.64.23,100,242,True,2024-01-29 11:41:54,R_2OqJUab4ba6cEGR,,,,,51.2993,9.491,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,Details on the (toy) car,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects
2024-01-29 11:37:35,2024-01-29 11:42:20,IP Address,109.93.25.233,100,285,True,2024-01-29 11:42:21,R_8sXfdNOhqpK647L,,,,,44.8046,20.4637,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background",A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Object,Details on the (toy) car,I am unsure,"If you selected unsure in previous question, choose this option",A real car,Both equally,Context/environment in which the (toy) car can be seen,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen"
2024-01-29 11:43:17,2024-01-29 11:45:56,IP Address,194.171.54.6,100,158,True,2024-01-29 11:45:56,R_8ZBT63893yvUgJb,,,,,51.9179,4.4901,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A real car,Surrounding (Environment around the car),"Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Colour,Texture/reflections or graininess"
2024-01-29 12:09:55,2024-01-29 12:13:28,IP Address,212.187.17.65,100,212,True,2024-01-29 12:13:28,R_11g2UqM2g3cdWj7,,,,,52.3712,4.9044,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Both equally,A toy car,Surrounding (Environment around the car),Blurriness or sharpness of fore/background,A real car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),Context/environment in which the (toy) car can be seen,A real car,Object,A toy car,Both equally,Blurriness or sharpness of fore/background
2024-01-29 12:10:49,2024-01-29 12:14:33,IP Address,94.44.107.160,100,223,True,2024-01-29 12:14:33,R_8SlfrpdYtyrTndF,,,,,47.5636,19.0947,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,Details on the (toy) car,A toy car,Object,A toy car,Both equally,Context/environment in which the (toy) car can be seen,A toy car,Both equally,A toy car,Surrounding (Environment around the car),Texture/reflections or graininess,A toy car,Surrounding (Environment around the car),A real car,Both equally,Size in relation to other objects,A toy car,Object,A toy car,Both equally,Context/environment in which the (toy) car can be seen,A real car,Surrounding (Environment around the car),A real car,Both equally,Context/environment in which the (toy) car can be seen
2024-01-29 12:13:30,2024-01-29 12:16:22,IP Address,143.177.44.220,100,171,True,2024-01-29 12:16:22,R_2Oy7MIOIjYBHKUi,,,,,52.3182,4.951,anonymous,EN,agree to participate in this study.,A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",I am unsure,"If you selected unsure in previous question, choose this option",A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A real car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Surrounding (Environment around the car),"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 12:16:40,2024-01-29 12:21:29,IP Address,143.177.44.220,100,289,True,2024-01-29 12:21:30,R_6tx6V4ZHwCNbJka,,,,,52.3182,4.951,anonymous,EN,agree to participate in this study.,A real car,Both equally,A real car,Both equally,Size in relation to other objects,A toy car,Both equally,A toy car,Both equally,Blurriness or sharpness of fore/background,A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Object,"Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Details on the (toy) car",A toy car,Object,A toy car,Object,"Size in relation to other objects,Colour"
2024-01-29 12:43:18,2024-01-29 12:45:41,IP Address,189.210.48.253,100,143,True,2024-01-29 12:45:42,R_6CThvn1FIfpSnZy,,,,,25.6806,-100.3741,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Details on the (toy) car,Other",A toy car,Object,A toy car,Object,Details on the (toy) car,A toy car,Object,A toy car,Object,Context/environment in which the (toy) car can be seen,A real car,Object,A real car,Object,"Size in relation to other objects,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A real car,Object,A real car,Object,Context/environment in which the (toy) car can be seen
2024-01-29 12:44:06,2024-01-29 12:48:18,IP Address,88.71.78.18,100,252,True,2024-01-29 12:48:19,R_4shOhtQLjoBhkLy,,,,,52.5353,13.4245,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Blurriness or sharpness of fore/background,Colour,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),"Blurriness or sharpness of fore/background,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Colour,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Both equally,"Size in relation to other objects,Blurriness or sharpness of fore/background,Colour"
2024-01-29 12:43:36,2024-01-29 12:48:39,IP Address,217.105.33.170,100,303,True,2024-01-29 12:48:40,R_6zZvegQHH9MdNsk,,,,,52.3182,4.951,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Surrounding (Environment around the car),A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Object,"Size in relation to other objects,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Both equally,"Colour,Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),Size in relation to other objects,A real car,Object,A real car,Both equally,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 12:48:59,2024-01-29 12:58:59,IP Address,191.101.126.39,100,600,True,2024-01-29 12:58:59,R_2P7puTQPZElGUwx,,,,,50.1188,8.6843,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,"Size in relation to other objects,Details on the (toy) car",A real car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess",A toy car,Object,I am still unsure,"If you selected unsure in previous question, choose this option",Blurriness or sharpness of fore/background,A toy car,Surrounding (Environment around the car),A real car,Surrounding (Environment around the car),Size in relation to other objects,A toy car,Object,A toy car,Object,"Texture/reflections or graininess,Context/environment in which the (toy) car can be seen",A real car,Object,A real car,Object,"Colour,Texture/reflections or graininess,Details on the (toy) car"
2024-01-29 12:44:28,2024-01-29 12:59:53,IP Address,143.178.139.140,100,925,True,2024-01-29 12:59:53,R_2YzCPHsBoEz8v2O,,,,,52.0766,4.2633,anonymous,EN,agree to participate in this study.,A real car,Object,A real car,Object,Texture/reflections or graininess,A toy car,Object,A toy car,Both equally,"Size in relation to other objects,Details on the (toy) car,Context/environment in which the (toy) car can be seen",I am unsure,Object,I am still unsure,Object,Details on the (toy) car,A real car,Object,A real car,Object,Details on the (toy) car,A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",A real car,Object,A real car,Object,"Details on the (toy) car,Context/environment in which the (toy) car can be seen"
2024-01-29 13:02:01,2024-01-29 13:07:25,IP Address,80.57.73.46,100,323,True,2024-01-29 13:07:26,R_5BwJBlIMo3Jb3Mg,,,,,52.3787,4.7941,anonymous,EN,agree to participate in this study.,A toy car,Object,A real car,Surrounding (Environment around the car),"Colour,Texture/reflections or graininess",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car,Context/environment in which the (toy) car can be seen",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car",I am unsure,"If you selected unsure in previous question, choose this option",I am still unsure,"If you selected unsure in previous question, choose this option","Texture/reflections or graininess,Details on the (toy) car",A toy car,Object,A toy car,Surrounding (Environment around the car),"Size in relation to other objects,Details on the (toy) car",A real car,Object,A real car,Object,"Size in relation to other objects,Texture/reflections or graininess,Details on the (toy) car"
